id,county,units,value,income,costs,taxes
26075,"Jackson County, Michigan",27562,123000,68733,1123,1866
26077,"Kalamazoo County, Michigan",42002,145900,77646,1240,2565
26079,"Kalkaska County, Michigan",3383,104200,51698,929,1201
26081,"Kent County, Michigan",107181,148600,77606,1219,2383
26083,"Keweenaw County, Michigan",422,97800,49620,956,1250
26085,"Lake County, Michigan",1694,79600,41078,876,1122
26087,"Lapeer County, Michigan",18026,150700,68488,1262,1702
26089,"Leelanau County, Michigan",4582,233000,68690,1397,2082
26091,"Lenawee County, Michigan",18898,127500,65825,1160,2051
26093,"Livingston County, Michigan",43173,210700,93421,1527,2701
26095,"Luce County, Michigan",760,80900,53214,907,998
26097,"Mackinac County, Michigan",1914,126600,56775,1037,1388
26099,"Macomb County, Michigan",160089,146000,79171,1310,2632
26101,"Manistee County, Michigan",4229,115400,55440,1004,1510
26103,"Marquette County, Michigan",10814,150500,71312,1098,1671
26105,"Mason County, Michigan",5323,133800,55805,1070,1785
26107,"Mecosta County, Michigan",6308,118100,61516,1046,1424
26109,"Menominee County, Michigan",4271,102400,56807,908,1290
26111,"Midland County, Michigan",15137,135300,78062,1194,2243
26113,"Missaukee County, Michigan",2691,105700,54426,968,1226
26115,"Monroe County, Michigan",30378,148900,77646,1277,2025
26117,"Montcalm County, Michigan",10933,97800,55963,990,1451
26119,"Montmorency County, Michigan",1830,93700,45962,898,1058
26121,"Muskegon County, Michigan",28580,109300,63626,1052,1792
26123,"Newaygo County, Michigan",8329,108300,58673,1045,1626
26125,"Oakland County, Michigan",240493,201600,98177,1593,3413
26127,"Oceana County, Michigan",4165,108000,55860,1024,1483
26129,"Ogemaw County, Michigan",4075,90800,47400,942,1202
26131,"Ontonagon County, Michigan",1064,75300,43514,870,1144
26133,"Osceola County, Michigan",3667,95000,52781,965,1255
26135,"Oscoda County, Michigan",1578,84600,46723,866,924
26137,"Otsego County, Michigan",5009,124700,64282,1030,1407
26139,"Ottawa County, Michigan",48971,164800,79641,1251,2355
26141,"Presque Isle County, Michigan",2547,92100,54787,893,1190
26143,"Roscommon County, Michigan",4772,97900,44268,894,1276
26145,"Saginaw County, Michigan",30897,98200,65378,1084,1737
26147,"St. Clair County, Michigan",31144,133000,69978,1211,1956
26149,"St. Joseph County, Michigan",10329,113200,60503,1021,1487
26151,"Sanilac County, Michigan",7046,103700,58613,996,1292
26153,"Schoolcraft County, Michigan",1322,117400,54663,1025,1266
26155,"Shiawassee County, Michigan",12619,107800,62449,1093,1694
26157,"Tuscola County, Michigan",9733,103000,60591,1045,1551
26159,"Van Buren County, Michigan",13129,134200,64539,1153,2022
26161,"Washtenaw County, Michigan",56825,222800,101107,1685,3952
26163,"Wayne County, Michigan",232105,107400,73443,1245,2596
26165,"Wexford County, Michigan",5698,98800,54338,978,1448
27001,"Aitkin County, Minnesota",3293,163800,58036,1179,862
27003,"Anoka County, Minnesota",74548,197500,92028,1530,2352
27005,"Becker County, Minnesota",6138,188200,74095,1300,1464
27007,"Beltrami County, Minnesota",6577,161300,67655,1193,1491
27009,"Benton County, Minnesota",7454,160800,74554,1348,1941
27011,"Big Stone County, Minnesota",864,103400,66146,947,1045
27013,"Blue Earth County, Minnesota",10139,172000,79201,1293,1744
27015,"Brown County, Minnesota",4615,140800,72237,1098,1471
27017,"Carlton County, Minnesota",6690,169300,73250,1287,1997
27019,"Carver County, Minnesota",21660,285500,114932,1919,3379
27021,"Cass County, Minnesota",5730,174200,62101,1206,1024
27023,"Chippewa County, Minnesota",1911,106300,73962,1012,1163
27025,"Chisago County, Minnesota",12368,201700,84419,1588,2629
27027,"Clay County, Minnesota",11184,174000,82608,1340,1867
27029,"Clearwater County, Minnesota",1431,123300,61821,1112,952
27031,"Cook County, Minnesota",957,244600,65361,1451,1305
27033,"Cottonwood County, Minnesota",1842,88300,62045,923,1199
27035,"Crow Wing County, Minnesota",12497,178800,68841,1237,1380
27037,"Dakota County, Minnesota",88325,230400,99815,1634,2632
27039,"Dodge County, Minnesota",4270,168300,86250,1411,1902
27041,"Douglas County, Minnesota",7565,187800,74484,1305,1692
27043,"Faribault County, Minnesota",2366,84200,64057,883,955
27045,"Fillmore County, Minnesota",3901,153300,75040,1231,1421
27047,"Freeborn County, Minnesota",5274,109900,65204,1004,1204
27049,"Goodhue County, Minnesota",8981,194400,85647,1478,2117
27051,"Grant County, Minnesota",1164,101300,67969,1087,1315
27053,"Hennepin County, Minnesota",221614,239500,101859,1710,3172
27055,"Houston County, Minnesota",3405,170400,74282,1295,1981
27057,"Hubbard County, Minnesota",4197,174900,65039,1225,1367
27059,"Isanti County, Minnesota",8482,168300,77907,1411,1956
27061,"Itasca County, Minnesota",8877,160300,66612,1178,1128
27063,"Jackson County, Minnesota",1639,127200,74719,1058,1247
27065,"Kanabec County, Minnesota",3159,144900,63853,1239,1593
27067,"Kandiyohi County, Minnesota",7613,166200,75677,1259,1609
27069,"Kittson County, Minnesota",581,88700,71908,1040,865
27071,"Koochiching County, Minnesota",2450,109900,68081,981,830
27073,"Lac qui Parle County, Minnesota",1076,86700,62500,925,929
27075,"Lake County, Minnesota",2166,163300,73895,1216,1131
27077,"Lake of the Woods County, Minnesota",760,141700,65929,1017,1090
27079,"Le Sueur County, Minnesota",5690,191300,80899,1422,1997
27081,"Lincoln County, Minnesota",898,111400,65735,1074,1126
27083,"Lyon County, Minnesota",3953,138000,79362,1162,1374
27085,"McLeod County, Minnesota",7322,147500,74889,1219,1786
27087,"Mahnomen County, Minnesota",651,112400,61083,1020,1253
27089,"Marshall County, Minnesota",1485,106300,74570,1048,883
27091,"Martin County, Minnesota",3518,115500,69971,1025,1127
27093,"Meeker County, Minnesota",4423,163300,74118,1298,1630
27095,"Mille Lacs County, Minnesota",4778,150100,67718,1285,1708
27097,"Morrison County, Minnesota",6084,160000,71222,1229,1487
27099,"Mower County, Minnesota",6558,123200,75847,1100,1187
27101,"Murray County, Minnesota",1368,123000,67619,1027,899
27103,"Nicollet County, Minnesota",5922,178200,79737,1350,1944
27105,"Nobles County, Minnesota",2744,117800,68736,1053,1069
27107,"Norman County, Minnesota",982,96100,73333,1000,1018
27109,"Olmsted County, Minnesota",29693,181000,91923,1410,2191
27111,"Otter Tail County, Minnesota",10908,169700,71784,1199,1344
27113,"Pennington County, Minnesota",2422,136900,71724,1114,1595
27115,"Pine County, Minnesota",5181,147900,61658,1227,1365
27117,"Pipestone County, Minnesota",1448,107200,62868,988,1013
27119,"Polk County, Minnesota",4920,156600,77319,1212,1564
27121,"Pope County, Minnesota",2237,150000,68306,1195,1425
27123,"Ramsey County, Minnesota",83370,202700,90224,1534,2678
27125,"Red Lake County, Minnesota",601,115600,71953,1092,1182
27127,"Redwood County, Minnesota",2256,109900,67760,988,1082
27129,"Renville County, Minnesota",2254,110400,71375,1101,1163
27131,"Rice County, Minnesota",11251,191900,79749,1471,2142
27133,"Rock County, Minnesota",1596,130300,66282,1098,962
27135,"Roseau County, Minnesota",2524,124700,73214,1184,1436
27137,"St. Louis County, Minnesota",35293,154200,73270,1182,1458
27139,"Scott County, Minnesota",30558,263600,110127,1839,3149
27141,"Sherburne County, Minnesota",20427,193200,91254,1539,2245
27143,"Sibley County, Minnesota",2698,141000,75938,1241,1618
27145,"Stearns County, Minnesota",25234,167700,80570,1342,1860
27147,"Steele County, Minnesota",7022,155600,80000,1312,1797
27149,"Stevens County, Minnesota",1367,156800,82891,1176,1421
27151,"Swift County, Minnesota",1424,101800,68289,1005,971
27153,"Todd County, Minnesota",4384,134100,62260,1125,1298
27155,"Traverse County, Minnesota",466,79700,61964,925,898
27157,"Wabasha County, Minnesota",4368,166300,75318,1307,1841
27159,"Wadena County, Minnesota",2224,115500,57346,1033,1296
27161,"Waseca County, Minnesota",3317,149200,81189,1229,1668
27163,"Washington County, Minnesota",53872,258200,105722,1750,2794
27165,"Watonwan County, Minnesota",1870,96400,64500,938,935
27167,"Wilkin County, Minnesota",1206,115200,71500,1085,1048
27169,"Winona County, Minnesota",8437,161900,75267,1223,1601
27171,"Wright County, Minnesota",27612,203700,94003,1530,2325
27173,"Yellow Medicine County, Minnesota",1684,108800,67246,989,1055
28001,"Adams County, Mississippi",3145,93700,53901,896,785
28003,"Alcorn County, Mississippi",4469,107200,53609,938,698
28005,"Amite County, Mississippi",1135,91500,41576,882,422
28007,"Attala County, Mississippi",2058,80500,53682,853,722
28009,"Benton County, Mississippi",1221,85700,46250,872,565
28011,"Bolivar County, Mississippi",2730,92200,52054,990,991
28013,"Calhoun County, Mississippi",1579,70700,48555,780,699
28015,"Carroll County, Mississippi",1268,102500,68750,951,671
28017,"Chickasaw County, Mississippi",1911,75600,37221,842,768
28019,"Choctaw County, Mississippi",986,74700,44479,765,380
28021,"Claiborne County, Mississippi",607,60800,45813,828,367
28023,"Clarke County, Mississippi",2097,78400,58681,848,440
28025,"Clay County, Mississippi",2620,90400,50031,879,689
28027,"Coahoma County, Mississippi",2163,76000,55545,907,893
28029,"Copiah County, Mississippi",2983,111000,48569,965,739
28031,"Covington County, Mississippi",2445,74900,49123,911,500
28033,"DeSoto County, Mississippi",31503,157700,78267,1236,1279
28035,"Forrest County, Mississippi",7868,123800,65455,1081,1207
28037,"Franklin County, Mississippi",810,77200,68125,964,535
28039,"George County, Mississippi",2960,122400,69239,1051,879
28041,"Greene County, Mississippi",1371,132700,60778,1115,649
28043,"Grenada County, Mississippi",3086,106000,51822,961,796
28045,"Hancock County, Mississippi",6662,145000,62552,1134,1108
28047,"Harrison County, Mississippi",24831,144000,64764,1217,1172
28049,"Hinds County, Mississippi",32752,119200,61638,1083,1186
28051,"Holmes County, Mississippi",1348,63900,29607,847,576
28053,"Humphreys County, Mississippi",730,70600,29605,863,880
28055,"Issaquena County, Mississippi",71,85000,43977,1078,568
28057,"Itawamba County, Mississippi",2742,90000,55278,909,752
28059,"Jackson County, Mississippi",19769,140100,72538,1229,1241
28061,"Jasper County, Mississippi",2118,69300,45936,822,615
28063,"Jefferson County, Mississippi",459,72100,42137,861,497
28065,"Jefferson Davis County, Mississippi",1679,90600,36380,919,529
28067,"Jones County, Mississippi",8118,100200,63543,971,916
28069,"Kemper County, Mississippi",947,73500,33406,778,409
28071,"Lafayette County, Mississippi",6442,179800,77278,1230,1293
28073,"Lamar County, Mississippi",8873,181700,79962,1337,1317
28075,"Lauderdale County, Mississippi",8644,109900,61316,1046,1098
28077,"Lawrence County, Mississippi",1687,88300,59515,894,637
28079,"Leake County, Mississippi",2522,98400,57763,882,684
28081,"Lee County, Mississippi",13223,134900,64865,1092,1111
28083,"Leflore County, Mississippi",2513,82700,50851,958,857
28085,"Lincoln County, Mississippi",3846,113800,55962,1046,876
28087,"Lowndes County, Mississippi",7543,136400,65388,1056,867
28089,"Madison County, Mississippi",17490,220800,94156,1477,1603
28091,"Marion County, Mississippi",2889,86100,47327,912,760
28093,"Marshall County, Mississippi",5208,109200,55696,1079,901
28095,"Monroe County, Mississippi",4838,93200,58224,927,737
28097,"Montgomery County, Mississippi",1316,93600,59554,878,747
28099,"Neshoba County, Mississippi",3310,99500,53803,900,800
28101,"Newton County, Mississippi",2555,88200,56679,946,722
28103,"Noxubee County, Mississippi",1270,78100,39274,812,609
28105,"Oktibbeha County, Mississippi",4454,163200,74786,1184,1367
28107,"Panola County, Mississippi",4062,96600,60954,976,724
28109,"Pearl River County, Mississippi",7287,139800,62849,1117,988
28111,"Perry County, Mississippi",1269,86300,54917,906,590
28113,"Pike County, Mississippi",3961,103500,52512,946,819
28115,"Pontotoc County, Mississippi",3863,98900,60686,868,734
28117,"Prentiss County, Mississippi",3029,101000,52622,870,714
28119,"Quitman County, Mississippi",731,56600,33984,748,668
28121,"Rankin County, Mississippi",26158,165900,81567,1222,1140
28123,"Scott County, Mississippi",2931,97900,54109,949,764
28125,"Sharkey County, Mississippi",342,96500,41389,1075,906
28127,"Simpson County, Mississippi",3283,95200,52816,950,646
28129,"Smith County, Mississippi",1314,103600,64861,1010,792
28131,"Stone County, Mississippi",2104,135200,63274,1130,1099
28133,"Sunflower County, Mississippi",2406,73600,42457,866,854
28135,"Tallahatchie County, Mississippi",1249,69600,41375,816,717
28137,"Tate County, Mississippi",4400,131400,64312,1153,1253
28139,"Tippah County, Mississippi",2872,87900,52941,835,549
28141,"Tishomingo County, Mississippi",2653,84500,49544,834,426
28143,"Tunica County, Mississippi",737,101400,50495,912,492
28145,"Union County, Mississippi",3417,100500,57902,945,663
28147,"Walthall County, Mississippi",1862,106900,46250,975,586
28149,"Warren County, Mississippi",6725,136100,65012,1099,933
28151,"Washington County, Mississippi",4815,86100,54778,957,945
28153,"Wayne County, Mississippi",2130,91100,61190,944,733
28155,"Webster County, Mississippi",1279,104900,58365,989,668
28157,"Wilkinson County, Mississippi",838,82700,52083,883,661
28159,"Winston County, Mississippi",2130,87700,54893,908,595
28161,"Yalobusha County, Mississippi",1686,91800,51591,906,579
28163,"Yazoo County, Mississippi",2136,85800,49508,882,777
29001,"Adair County, Missouri",3127,120400,67295,972,1007
29003,"Andrew County, Missouri",3113,139800,75515,1158,1312
29005,"Atchison County, Missouri",858,88700,59674,920,918
29007,"Audrain County, Missouri",3132,102300,63246,988,1099
29009,"Barry County, Missouri",5228,120100,56401,939,832
29011,"Barton County, Missouri",1676,97700,56822,975,774
29013,"Bates County, Missouri",2518,117400,65510,1070,877
29015,"Benton County, Missouri",3274,127500,46650,924,781
29017,"Bollinger County, Missouri",1846,106700,54550,914,643
29019,"Boone County, Missouri",25161,176100,82963,1264,1676
29021,"Buchanan County, Missouri",12403,117600,68772,1052,1077
29023,"Butler County, Missouri",5371,118900,58182,983,762
